t,tf_t,x,y,theta,yaw_deg,reason
1781701520.181628,1781701520.141123,-2.589738,3.276108,-2.773954,-158.936,time
1781701520.728393,1781701520.691170,-2.589731,3.276111,-2.773897,-158.933,time
1781701521.278410,1781701521.241300,-2.589731,3.276111,-2.773871,-158.931,time
1781701521.781265,1781701521.741240,-2.589731,3.276111,-2.773691,-158.921,time
1781701522.328378,1781701522.291080,-2.589731,3.276111,-2.773631,-158.917,time
1781701522.828470,1781701522.790977,-2.589731,3.276111,-2.773493,-158.909,time
1781701523.378400,1781701523.341140,-2.589731,3.276111,-2.773431,-158.906,time
1781701523.928337,1781701523.891322,-2.589731,3.276111,-2.773301,-158.898,time
1781701524.428414,1781701524.391120,-2.589731,3.276111,-2.773157,-158.890,time
1781701524.978380,1781701524.941148,-2.589731,3.276111,-2.773017,-158.882,time
1781701525.478412,1781701525.441180,-2.589731,3.276111,-2.772952,-158.878,time
1781701525.978439,1781701525.945387,-2.589731,3.276111,-2.772956,-158.879,time
1781701526.528404,1781701526.491097,-2.589731,3.276111,-2.772888,-158.875,time
1781701527.028413,1781701526.991152,-2.589731,3.276111,-2.772761,-158.867,time
1781701527.528522,1781701527.491383,-2.589731,3.276111,-2.772636,-158.860,time
1781701528.078389,1781701528.041545,-2.589731,3.276111,-2.772510,-158.853,time
1781701528.628353,1781701528.591318,-2.600043,3.272106,-2.762721,-158.292,time
1781701529.078442,1781701529.041143,-2.619706,3.268440,-2.712846,-155.435,distance
1781701529.428382,1781701529.394234,-2.640888,3.259509,-2.666754,-152.794,distance
1781701529.678395,1781701529.641035,-2.660147,3.249728,-2.636269,-151.047,distance
1781701530.029521,1781701529.991125,-2.680131,3.238306,-2.600792,-149.014,distance
1781701530.278566,1781701530.241087,-2.699699,3.225176,-2.570774,-147.295,distance
1781701530.528892,1781701530.491075,-2.716385,3.214147,-2.538167,-145.426,distance
1781701530.785606,1781701530.741334,-2.734807,3.202183,-2.505588,-143.560,distance
1781701531.178409,1781701531.141196,-2.753581,3.189523,-2.482624,-142.244,distance
1781701531.428403,1781701531.391045,-2.771542,3.175344,-2.457403,-140.799,distance
1781701531.978400,1781701531.940961,-2.782784,3.164054,-2.439134,-139.752,time
1781701532.528341,1781701532.491289,-2.789775,3.158101,-2.429771,-139.216,time
1781701532.779001,1781701532.741098,-2.806303,3.143559,-2.405135,-137.804,distance
1781701533.078466,1781701533.041394,-2.821714,3.126103,-2.379590,-136.340,distance
1781701533.378385,1781701533.341340,-2.836477,3.111775,-2.359002,-135.161,distance
1781701533.679188,1781701533.641145,-2.852054,3.098481,-2.338044,-133.960,distance
1781701533.928476,1781701533.890962,-2.867635,3.081973,-2.311882,-132.461,distance
1781701534.128425,1781701534.091257,-2.880740,3.066582,-2.290400,-131.230,distance
1781701534.528389,1781701534.491077,-2.894315,3.050768,-2.269340,-130.024,distance
1781701534.778361,1781701534.741290,-2.907523,3.034777,-2.248655,-128.838,distance
1781701535.078403,1781701535.041208,-2.919947,3.018581,-2.219274,-127.155,distance
1781701535.328408,1781701535.291796,-2.932910,3.001108,-2.194386,-125.729,distance
1781701535.628395,1781701535.591177,-2.944182,2.983565,-2.174424,-124.585,distance
1781701535.978430,1781701535.940973,-2.956152,2.965857,-2.152866,-123.350,distance
1781701536.328387,1781701536.291094,-2.966068,2.944408,-2.125496,-121.782,distance
1781701536.530194,1781701536.495973,-2.976629,2.927053,-2.104914,-120.603,distance
1781701536.728362,1781701536.704015,-2.987173,2.903547,-2.080523,-119.205,distance
1781701537.128380,1781701537.093424,-2.996759,2.885987,-2.058254,-117.929,distance
1781701537.428477,1781701537.391056,-3.006080,2.867297,-2.036717,-116.695,distance
1781701537.678366,1781701537.645794,-3.015174,2.848655,-2.016081,-115.513,distance
1781701538.178393,1781701538.141039,-3.017405,2.843974,-2.009487,-115.135,time
1781701538.628411,1781701538.591104,-3.029227,2.823598,-1.986818,-113.836,distance
1781701538.878394,1781701538.841109,-3.040678,2.804120,-1.965233,-112.600,distance
1781701539.178226,1781701539.141023,-3.048929,2.783738,-1.942110,-111.275,distance
1781701539.528357,1781701539.491241,-3.055688,2.762906,-1.917801,-109.882,distance
1781701539.778362,1781701539.740960,-3.062570,2.743368,-1.896819,-108.680,distance
1781701540.078645,1781701540.041134,-3.064495,2.721744,-1.874860,-107.422,distance
1781701540.528371,1781701540.493963,-3.071191,2.699515,-1.847297,-105.842,distance
1781701540.778374,1781701540.741021,-3.077702,2.678907,-1.824015,-104.508,distance
1781701541.128451,1781701541.091274,-3.083354,2.656081,-1.797531,-102.991,distance
1781701541.428353,1781701541.391745,-3.087086,2.635767,-1.772730,-101.570,distance
1781701541.728355,1781701541.691795,-3.091243,2.614316,-1.746852,-100.087,distance
1781701541.928346,1781701541.892236,-3.094414,2.592273,-1.726300,-98.910,distance
1781701542.178368,1781701542.141004,-3.097539,2.570758,-1.697871,-97.281,distance
1781701542.378564,1781701542.341115,-3.099943,2.550790,-1.686247,-96.615,distance
1781701542.778439,1781701542.741028,-3.102291,2.528547,-1.663611,-95.318,distance
1781701543.078612,1781701543.041029,-3.104086,2.506918,-1.639471,-93.935,distance
1781701543.328375,1781701543.293607,-3.107297,2.483918,-1.606903,-92.069,distance
1781701543.578389,1781701543.541176,-3.108360,2.456919,-1.572785,-90.114,distance
1781701543.828346,1781701543.791046,-3.108670,2.435111,-1.546161,-88.589,distance
1781701544.328518,1781701544.291084,-3.110562,2.422863,-1.538733,-88.163,time
1781701544.678831,1781701544.641069,-3.109490,2.398500,-1.510818,-86.564,distance
1781701544.928519,1781701544.894397,-3.107745,2.374406,-1.479174,-84.750,distance
1781701545.178711,1781701545.141035,-3.106243,2.353330,-1.446061,-82.853,distance
1781701545.478367,1781701545.441349,-3.103471,2.333364,-1.423481,-81.559,distance
1781701545.828476,1781701545.791070,-3.099920,2.311378,-1.399107,-80.163,distance
1781701546.128547,1781701546.091246,-3.095638,2.288239,-1.371053,-78.556,distance
1781701546.428368,1781701546.393397,-3.087576,2.266018,-1.337863,-76.654,distance
1781701546.728392,1781701546.691026,-3.084033,2.244457,-1.312123,-75.179,distance
1781701547.078428,1781701547.040984,-3.077890,2.222308,-1.283795,-73.556,distance
1781701547.328875,1781701547.291358,-3.067645,2.200210,-1.258171,-72.088,distance
1781701547.578407,1781701547.541034,-3.060630,2.179302,-1.230359,-70.494,distance
1781701547.828451,1781701547.791037,-3.051690,2.157383,-1.209321,-69.289,distance
1781701548.128460,1781701548.091024,-3.044272,2.138373,-1.183965,-67.836,distance
1781701548.478374,1781701548.441025,-3.032400,2.119047,-1.145446,-65.629,distance
1781701548.728397,1781701548.692355,-3.023527,2.100035,-1.115987,-63.941,distance
1781701549.228508,1781701549.191151,-3.013335,2.088880,-1.086785,-62.268,time
1781701549.728606,1781701549.691056,-3.002323,2.068510,-1.058618,-60.654,distance
1781701550.028617,1781701549.997385,-2.988356,2.048345,-1.027298,-58.860,distance
1781701550.278457,1781701550.241205,-2.976369,2.029081,-0.994022,-56.953,distance
1781701550.478408,1781701550.441163,-2.962574,2.010833,-0.958876,-54.940,distance
1781701550.828530,1781701550.791100,-2.948260,1.995524,-0.924154,-52.950,distance
1781701551.178400,1781701551.141063,-2.934572,1.977820,-0.896490,-51.365,distance
1781701551.428360,1781701551.391417,-2.920204,1.962614,-0.864620,-49.539,distance
1781701551.628372,1781701551.592835,-2.906647,1.947080,-0.834245,-47.799,distance
1781701551.928380,1781701551.891033,-2.891553,1.930204,-0.803191,-46.019,distance
1781701552.278492,1781701552.240990,-2.876867,1.915316,-0.777207,-44.531,distance
1781701552.528396,1781701552.491372,-2.862034,1.900194,-0.751220,-43.042,distance
1781701552.778386,1781701552.741150,-2.846750,1.886227,-0.722832,-41.415,distance
1781701553.028373,1781701552.995898,-2.829662,1.873870,-0.687416,-39.386,distance
1781701553.330686,1781701553.291764,-2.809549,1.862502,-0.655963,-37.584,distance
1781701553.878357,1781701553.841033,-2.792307,1.849585,-0.625353,-35.830,distance
1781701554.178450,1781701554.144163,-2.771307,1.836310,-0.588069,-33.694,distance
1781701554.428414,1781701554.392419,-2.749441,1.823374,-0.553049,-31.687,distance
1781701554.728366,1781701554.691204,-2.729912,1.812894,-0.522066,-29.912,distance
1781701555.078369,1781701555.041104,-2.709258,1.803856,-0.486316,-27.864,distance
1781701555.379115,1781701555.341029,-2.686847,1.797680,-0.446636,-25.590,distance
1781701555.628412,1781701555.591641,-2.667535,1.788730,-0.416339,-23.854,distance
1781701556.078594,1781701556.041137,-2.647412,1.779030,-0.374976,-21.485,distance
1781701556.378528,1781701556.342832,-2.624814,1.774096,-0.342248,-19.609,distance
1781701556.628364,1781701556.591202,-2.602382,1.766484,-0.304477,-17.445,distance
1781701556.828462,1781701556.793283,-2.582158,1.762095,-0.270444,-15.495,distance
1781701557.178408,1781701557.141207,-2.561802,1.756032,-0.247731,-14.194,distance
1781701557.528865,1781701557.490997,-2.539305,1.750671,-0.214557,-12.293,distance
1781701558.080624,1781701558.044318,-2.533782,1.748345,-0.191328,-10.962,time
1781701558.628426,1781701558.591353,-2.533782,1.748345,-0.191171,-10.953,time
1781701559.128459,1781701559.094567,-2.533782,1.748345,-0.191085,-10.948,time
1781701559.528419,1781701559.491069,-2.510429,1.744189,-0.153019,-8.767,distance
1781701560.028391,1781701559.990968,-2.488310,1.742146,-0.114585,-6.565,distance
1781701560.228391,1781701560.193563,-2.462779,1.740590,-0.099480,-5.700,distance
1781701560.428429,1781701560.391482,-2.441821,1.738515,-0.097701,-5.598,distance
1781701560.628443,1781701560.591649,-2.421753,1.736568,-0.094884,-5.436,distance
1781701560.928762,1781701560.891053,-2.398971,1.735225,-0.087297,-5.002,distance
1781701561.228390,1781701561.191046,-2.377247,1.733349,-0.084785,-4.858,distance
1781701561.528381,1781701561.491161,-2.355846,1.733602,-0.081696,-4.681,distance
1781701561.828392,1781701561.791324,-2.332697,1.731741,-0.078280,-4.485,distance
1781701562.228514,1781701562.191076,-2.310426,1.731747,-0.072908,-4.177,distance
1781701562.578415,1781701562.541104,-2.287221,1.730091,-0.068929,-3.949,distance
1781701563.028404,1781701562.991216,-2.263748,1.729735,-0.071548,-4.099,distance
1781701563.278362,1781701563.241302,-2.242127,1.728210,-0.068724,-3.938,distance
1781701563.528397,1781701563.491316,-2.218838,1.728714,-0.068342,-3.916,distance
1781701563.834415,1781701563.791038,-2.196703,1.727230,-0.065222,-3.737,distance
1781701564.128486,1781701564.091603,-2.171102,1.725468,-0.061221,-3.508,distance
1781701564.378417,1781701564.341024,-2.148408,1.723965,-0.057325,-3.284,distance
1781701564.678673,1781701564.641341,-2.124242,1.722611,-0.054065,-3.098,distance
1781701564.878379,1781701564.841026,-2.104185,1.723047,-0.050054,-2.868,distance
1781701565.378394,1781701565.341142,-2.100840,1.722879,-0.049444,-2.833,time
1781701565.878407,1781701565.841054,-2.100840,1.722879,-0.049363,-2.828,time
1781701566.278364,1781701566.241121,-2.078979,1.721826,-0.046520,-2.665,distance
1781701566.528371,1781701566.493541,-2.058526,1.720898,-0.043718,-2.505,distance
